"ST","ASP","GLN","GLT","GLY","PGM","TKT","UNC","Source","UR_num","UR_bool","SampledDate","Number","Label","Year","month","YearMonth"
50,2,1,12,3,2,1,5,"Cattle",NA,NA,2011-05-20,2,"Ruminants",2011,5,77
520,2,1,12,88,2,1,5,"Cattle",NA,NA,2011-05-20,2,"Ruminants",2011,5,77
38,2,4,2,2,6,1,5,"Cattle",NA,NA,2011-05-20,2,"Ruminants",2011,5,77
3799,1,4,2,348,6,3,17,"Cattle",NA,NA,2006-10-09,2,"Ruminants",2006,10,22
436,7,21,5,62,4,61,44,"Cattle",NA,NA,2011-05-19,2,"Ruminants",2011,5,77
42,1,2,3,4,5,9,3,"Cattle",NA,NA,2011-05-19,2,"Ruminants",2011,5,77
42,1,2,3,4,5,9,3,"Cattle",NA,NA,2011-05-19,2,"Ruminants",2011,5,77
42,1,2,3,4,5,9,3,"Sheep",NA,NA,2011-05-19,2,"Ruminants",2011,5,77
10005,1,21,3,4,5,9,3,"Sheep",NA,NA,2011-05-19,2,"Ruminants",2011,5,77
3222,33,283,44,82,189,44,17,"Sheep",NA,NA,2011-05-19,2,"Ruminants",2011,5,77
61,1,4,2,2,6,3,17,"Cattle",NA,NA,2011-05-19,2,"Ruminants",2011,5,77
436,7,21,5,62,4,61,44,"Cattle",NA,NA,2011-05-19,2,"Ruminants",2011,5,77
2026,10,1,16,19,10,5,7,"Cattle",NA,NA,2011-05-19,2,"Ruminants",2011,5,77
61,1,4,2,2,6,3,17,"Cattle",NA,NA,2011-05-19,2,"Ruminants",2011,5,77
45,4,7,10,4,1,7,1,"Cattle",NA,NA,2011-05-19,2,"Ruminants",2011,5,77
2340,1,45,2,4,6,3,17,"Cattle",NA,NA,2011-05-19,2,"Ruminants",2011,5,77
3456,4,7,12,4,1,7,1,"Cattle",NA,NA,2011-05-19,2,"Ruminants",2011,5,77
42,1,2,3,4,5,9,3,"Sheep",NA,NA,2006-10-02,2,"Ruminants",2006,10,22
42,1,2,3,4,5,9,3,"Cattle",NA,NA,2011-05-18,2,"Ruminants",2011,5,77
3711,1,2,4,62,4,5,17,"Cattle",NA,NA,2011-05-18,2,"Ruminants",2011,5,77
1581,129,66,30,82,189,47,17,"Cattle",NA,NA,2011-05-18,2,"Ruminants",2011,5,77
1517,8,10,149,2,11,12,6,"Cattle",NA,NA,2011-05-18,2,"Ruminants",2011,5,77
3711,1,2,4,62,4,5,17,"Cattle",NA,NA,2011-05-18,2,"Ruminants",2011,5,77
3072,33,39,30,82,104,173,68,"Cattle",NA,NA,2011-05-18,2,"Ruminants",2011,5,77
3711,1,2,4,62,4,5,17,"Cattle",NA,NA,2011-05-18,2,"Ruminants",2011,5,77
42,1,2,3,4,5,9,3,"Cattle",NA,NA,2011-05-18,2,"Ruminants",2011,5,77
422,2,1,5,3,2,5,5,"Sheep",NA,NA,2006-10-02,2,"Ruminants",2006,10,22
42,1,2,3,4,5,9,3,"Sheep",NA,NA,2011-05-19,2,"Ruminants",2011,5,77
829,33,39,30,82,113,43,17,"Sheep",NA,NA,2011-05-19,2,"Ruminants",2011,5,77
1517,8,10,149,2,11,12,6,"Sheep",NA,NA,2011-05-19,2,"Ruminants",2011,5,77
3072,33,39,30,82,104,173,68,"Sheep",NA,NA,2011-05-19,2,"Ruminants",2011,5,77
520,2,1,12,88,2,1,5,"Sheep",NA,NA,2011-05-19,2,"Ruminants",2011,5,77
825,33,39,30,82,113,47,17,"Sheep",NA,NA,2011-05-19,2,"Ruminants",2011,5,77
3072,33,39,30,82,104,173,68,"Sheep",NA,NA,2011-05-19,2,"Ruminants",2011,5,77
422,2,1,5,3,2,5,5,"Sheep",NA,NA,2011-05-18,2,"Ruminants",2011,5,77
1581,129,66,30,82,189,47,17,"Sheep",NA,NA,2011-05-18,2,"Ruminants",2011,5,77
825,33,39,30,82,113,47,17,"Sheep",NA,NA,2011-05-18,2,"Ruminants",2011,5,77
5652,33,66,44,82,189,44,17,"Sheep",NA,NA,2011-05-18,2,"Ruminants",2011,5,77
3072,33,39,30,82,104,173,68,"Sheep",NA,NA,2011-05-18,2,"Ruminants",2011,5,77
1581,129,66,30,82,189,47,17,"Sheep",NA,NA,2011-05-18,2,"Ruminants",2011,5,77
436,7,21,5,62,4,61,44,"Sheep",NA,NA,2011-05-18,2,"Ruminants",2011,5,77
190,2,1,5,3,2,3,5,"Sheep",NA,NA,2011-05-18,2,"Ruminants",2011,5,77
436,7,21,5,62,4,61,44,"Sheep",NA,NA,2011-05-18,2,"Ruminants",2011,5,77
3222,33,283,44,82,189,44,17,"Sheep",NA,NA,2011-05-18,2,"Ruminants",2011,5,77
1581,129,66,30,82,189,47,17,"Sheep",NA,NA,2011-05-12,2,"Ruminants",2011,5,77
190,2,1,5,3,2,3,5,"Sheep",NA,NA,2011-05-12,2,"Ruminants",2011,5,77
3072,33,39,30,82,104,173,68,"Sheep",NA,NA,2011-05-12,2,"Ruminants",2011,5,77
3232,32,39,30,82,104,324,17,"Sheep",NA,NA,2011-05-12,2,"Ruminants",2011,5,77
50,2,1,12,3,2,1,5,"Sheep",NA,NA,2011-05-12,2,"Ruminants",2011,5,77
3072,33,39,30,82,104,173,68,"Sheep",NA,NA,2011-05-12,2,"Ruminants",2011,5,77
61,1,4,2,2,6,3,17,"Sheep",NA,NA,2011-05-12,2,"Ruminants",2011,5,77
3222,33,283,44,82,189,44,17,"Sheep",NA,NA,2011-05-09,2,"Ruminants",2011,5,77
3222,33,283,44,82,189,44,17,"Sheep",NA,NA,2011-05-09,2,"Ruminants",2011,5,77
50,2,1,12,3,2,1,5,"Sheep",NA,NA,2011-05-09,2,"Ruminants",2011,5,77
50,2,1,12,3,2,1,5,"Sheep",NA,NA,2011-05-09,2,"Ruminants",2011,5,77
583,4,7,10,4,42,51,1,"Sheep",NA,NA,2011-05-06,2,"Ruminants",2011,5,77
5540,2,1,12,449,2,1,5,"Sheep",NA,NA,2011-05-06,2,"Ruminants",2011,5,77
583,4,7,10,4,42,51,1,"Sheep",NA,NA,2011-05-06,2,"Ruminants",2011,5,77
50,2,1,12,3,2,1,5,"Sheep",NA,NA,2011-05-06,2,"Ruminants",2011,5,77
583,4,7,10,4,42,51,1,"Sheep",NA,NA,2011-05-06,2,"Ruminants",2011,5,77
190,2,1,5,3,2,3,5,"Sheep",NA,NA,2011-05-04,2,"Ruminants",2011,5,77
190,2,1,5,3,2,3,5,"Sheep",NA,NA,2011-05-04,2,"Ruminants",2011,5,77
190,2,1,5,3,2,3,5,"Sheep",NA,NA,2011-05-04,2,"Ruminants",2011,5,77
42,1,2,3,4,5,9,3,"Sheep",NA,NA,2011-05-04,2,"Ruminants",2011,5,77
42,1,2,3,4,5,9,3,"Sheep",NA,NA,2011-05-04,2,"Ruminants",2011,5,77
50,2,1,12,3,2,1,5,"Sheep",NA,NA,2011-05-03,2,"Ruminants",2011,5,77
50,2,1,12,3,2,1,5,"Sheep",NA,NA,2011-05-03,2,"Ruminants",2011,5,77
42,1,2,3,4,5,9,3,"Sheep",NA,NA,2006-09-11,2,"Ruminants",2006,9,21
42,1,2,3,4,5,9,3,"Sheep",NA,NA,2006-09-04,2,"Ruminants",2006,9,21
177,17,2,8,5,8,2,4,"Sheep",NA,NA,2009-04-15,2,"Ruminants",2009,4,52
42,1,2,3,4,5,9,3,"Cattle",NA,NA,2009-03-03,2,"Ruminants",2009,3,51
2026,10,1,16,19,10,5,7,"Cattle",NA,NA,2009-02-24,2,"Ruminants",2009,2,50
2026,10,1,16,19,10,5,7,"Sheep",NA,NA,2006-08-30,2,"Ruminants",2006,8,20
50,2,1,12,3,2,1,5,"Sheep",NA,NA,2009-02-17,2,"Ruminants",2009,2,50
53,2,1,21,3,2,1,5,"Cattle",NA,NA,2009-02-03,2,"Ruminants",2009,2,50
53,2,1,21,3,2,1,5,"Cattle",NA,NA,2006-08-25,2,"Ruminants",2006,8,20
190,2,1,5,3,2,3,5,"Sheep",NA,NA,2006-08-24,2,"Ruminants",2006,8,20
53,2,1,21,3,2,1,5,"Cattle",NA,NA,2008-12-22,2,"Ruminants",2008,12,48
583,4,7,10,4,42,51,1,"Cattle",NA,NA,2008-12-16,2,"Ruminants",2008,12,48
422,2,1,5,3,2,5,5,"Sheep",NA,NA,2006-08-20,2,"Ruminants",2006,8,20
4338,2,351,12,88,2,1,5,"Sheep",NA,NA,2008-12-02,2,"Ruminants",2008,12,48
53,2,1,21,3,2,1,5,"Cattle",NA,NA,2008-11-25,2,"Ruminants",2008,11,47
2026,10,1,16,19,10,5,7,"Cattle",NA,NA,2008-11-18,2,"Ruminants",2008,11,47
2026,10,1,16,19,10,5,7,"Cattle",NA,NA,2008-10-21,2,"Ruminants",2008,10,46
10004,10,998,16,19,10,5,7,"Cattle",NA,NA,2008-10-13,2,"Ruminants",2008,10,46
422,2,1,5,3,2,5,5,"Sheep",NA,NA,2008-10-13,2,"Ruminants",2008,10,46
2026,10,1,16,19,10,5,7,"Cattle",NA,NA,2008-09-25,2,"Ruminants",2008,9,45
42,1,2,3,4,5,9,3,"Cattle",NA,NA,2008-09-15,2,"Ruminants",2008,9,45
422,2,1,5,3,2,5,5,"Sheep",NA,NA,2008-09-02,2,"Ruminants",2008,9,45
42,1,2,3,4,5,9,3,"Cattle",NA,NA,2008-08-26,2,"Ruminants",2008,8,44
3959,1,4,21,2,6,3,17,"Cattle",NA,NA,2008-08-11,2,"Ruminants",2008,8,44
520,2,1,12,88,2,1,5,"Cattle",NA,NA,2008-07-29,2,"Ruminants",2008,7,43
53,2,1,21,3,2,1,5,"Cattle",NA,NA,2008-07-22,2,"Ruminants",2008,7,43
3842,1,14,2,2,6,1,5,"Cattle",NA,NA,2008-07-22,2,"Ruminants",2008,7,43
422,2,1,5,3,2,5,5,"Cattle",NA,NA,2006-08-03,2,"Ruminants",2006,8,20
50,2,1,12,3,2,1,5,"Sheep",NA,NA,2008-07-22,2,"Ruminants",2008,7,43
1517,8,10,149,2,11,12,6,"Sheep",NA,NA,2008-07-22,2,"Ruminants",2008,7,43
42,1,2,3,4,5,9,3,"Cattle",NA,NA,2008-07-15,2,"Ruminants",2008,7,43
21,2,1,1,3,2,1,5,"Cattle",NA,NA,2008-07-01,2,"Ruminants",2008,7,43
474,2,4,1,2,2,1,5,"Sheep",NA,NA,2008-07-01,2,"Ruminants",2008,7,43
50,2,1,12,3,2,1,5,"Sheep",NA,NA,2008-05-29,2,"Ruminants",2008,5,41
10041,2,1,21,3,2,1,102,"Sheep",NA,NA,2008-05-13,2,"Ruminants",2008,5,41
1517,8,10,149,2,11,12,6,"Sheep",NA,NA,2006-05-31,2,"Ruminants",2006,5,17
50,2,1,12,3,2,1,5,"Sheep",NA,NA,2006-04-12,2,"Ruminants",2006,4,16
474,2,4,1,2,2,1,5,"Cattle",NA,NA,2008-03-11,2,"Ruminants",2008,3,39
42,1,2,3,4,5,9,3,"Cattle",NA,NA,2008-03-11,2,"Ruminants",2008,3,39
677,10,81,50,99,120,76,52,"Sheep",NA,NA,2006-05-31,2,"Ruminants",2006,5,17
61,1,4,2,2,6,3,17,"Cattle",NA,NA,2008-02-26,2,"Ruminants",2008,2,38
3724,33,39,149,2,104,12,6,"Sheep",NA,NA,2008-02-14,2,"Ruminants",2008,2,38
520,2,1,12,88,2,1,5,"Cattle",NA,NA,2008-02-14,2,"Ruminants",2008,2,38
474,2,4,1,2,2,1,5,"Cattle",NA,NA,2008-02-05,2,"Ruminants",2008,2,38
53,2,1,21,3,2,1,5,"Cattle",NA,NA,2008-02-05,2,"Ruminants",2008,2,38
2026,10,1,16,19,10,5,7,"Sheep",NA,NA,2008-01-28,2,"Ruminants",2008,1,37
50,2,1,12,3,2,1,5,"Cattle",NA,NA,2008-01-28,2,"Ruminants",2008,1,37
42,1,2,3,4,5,9,3,"Cattle",NA,NA,2008-01-22,2,"Ruminants",2008,1,37
520,2,1,12,88,2,1,5,"Sheep",NA,NA,2008-01-22,2,"Ruminants",2008,1,37
3610,2,1,5,88,2,11,5,"Sheep",NA,NA,2008-01-14,2,"Ruminants",2008,1,37
42,1,2,3,4,5,9,3,"Cattle",NA,NA,2008-01-14,2,"Ruminants",2008,1,37
42,1,2,3,4,5,9,3,"Cattle",NA,NA,2008-01-08,2,"Ruminants",2008,1,37
1517,8,10,149,2,11,12,6,"Sheep",NA,NA,2008-01-08,2,"Ruminants",2008,1,37
3222,33,283,44,82,189,44,17,"Cattle",NA,NA,2008-01-04,2,"Ruminants",2008,1,37
53,2,1,21,3,2,1,5,"Cattle",NA,NA,2007-12-28,2,"Ruminants",2007,12,36
3714,2,1,12,3,2,1,52,"Cattle",NA,NA,2006-05-15,2,"Ruminants",2006,5,17
3799,1,4,2,348,6,3,17,"Cattle",NA,NA,2007-12-17,2,"Ruminants",2007,12,36
520,2,1,12,88,2,1,5,"Cattle",NA,NA,2007-12-17,2,"Ruminants",2007,12,36
42,1,2,3,4,5,9,3,"Cattle",NA,NA,2007-12-11,2,"Ruminants",2007,12,36
50,2,1,12,3,2,1,5,"Sheep",NA,NA,2007-12-11,2,"Ruminants",2007,12,36
21,2,1,1,3,2,1,5,"Cattle",NA,NA,2007-12-04,2,"Ruminants",2007,12,36
45,4,7,10,4,1,7,1,"Cattle",NA,NA,2006-05-15,2,"Ruminants",2006,5,17
190,2,1,5,3,2,3,5,"Sheep",NA,NA,2007-11-27,2,"Ruminants",2007,11,35
3610,2,1,5,88,2,11,5,"Sheep",NA,NA,2007-11-20,2,"Ruminants",2007,11,35
42,1,2,3,4,5,9,3,"Cattle",NA,NA,2007-11-14,2,"Ruminants",2007,11,35
190,2,1,5,3,2,3,5,"Sheep",NA,NA,2007-11-14,2,"Ruminants",2007,11,35
42,1,2,3,4,5,9,3,"Cattle",NA,NA,2006-05-15,2,"Ruminants",2006,5,17
190,2,1,5,3,2,3,5,"Sheep",NA,NA,2007-11-06,2,"Ruminants",2007,11,35
42,1,2,3,4,5,9,3,"Sheep",NA,NA,2007-10-30,2,"Ruminants",2007,10,34
3798,239,27,16,19,10,5,7,"Cattle",NA,NA,2007-10-23,2,"Ruminants",2007,10,34
190,2,1,5,3,2,3,5,"Cattle",NA,NA,2007-10-16,2,"Ruminants",2007,10,34
42,1,2,3,4,5,9,3,"Cattle",NA,NA,2007-10-16,2,"Ruminants",2007,10,34
2026,10,1,16,19,10,5,7,"Cattle",NA,NA,2006-05-15,2,"Ruminants",2006,5,17
3797,1,317,2,2,6,3,17,"Sheep",NA,NA,2007-10-16,2,"Ruminants",2007,10,34
53,2,1,21,3,2,1,5,"Cattle",NA,NA,2007-10-09,2,"Ruminants",2007,10,34
3797,1,317,2,2,6,3,17,"Sheep",NA,NA,2007-10-02,2,"Ruminants",2007,10,34
38,2,4,2,2,6,1,5,"Cattle",NA,NA,2007-09-25,2,"Ruminants",2007,9,33
436,7,21,5,62,4,61,44,"Cattle",NA,NA,2007-09-25,2,"Ruminants",2007,9,33
50,2,1,12,3,2,1,5,"Sheep",NA,NA,2007-09-25,2,"Ruminants",2007,9,33
190,2,1,5,3,2,3,5,"Cattle",NA,NA,2007-09-18,2,"Ruminants",2007,9,33
61,1,4,2,2,6,3,17,"Cattle",NA,NA,2007-09-11,2,"Ruminants",2007,9,33
50,2,1,12,3,2,1,5,"Cattle",NA,NA,2007-09-11,2,"Ruminants",2007,9,33
42,1,2,3,4,5,9,3,"Cattle",NA,NA,2007-09-04,2,"Ruminants",2007,9,33
53,2,1,21,3,2,1,5,"Cattle",NA,NA,2007-08-28,2,"Ruminants",2007,8,32
50,2,1,12,3,2,1,5,"Cattle",NA,NA,2007-08-28,2,"Ruminants",2007,8,32
42,1,2,3,4,5,9,3,"Cattle",NA,NA,2007-08-14,2,"Ruminants",2007,8,32
190,2,1,5,3,2,3,5,"Sheep",NA,NA,2007-08-07,2,"Ruminants",2007,8,32
190,2,1,5,3,2,3,5,"Cattle",NA,NA,2007-07-23,2,"Ruminants",2007,7,31
422,2,1,5,3,2,5,5,"Sheep",NA,NA,2007-07-23,2,"Ruminants",2007,7,31
42,1,2,3,4,5,9,3,"Cattle",NA,NA,2007-07-17,2,"Ruminants",2007,7,31
53,2,1,21,3,2,1,5,"Cattle",NA,NA,2007-07-17,2,"Ruminants",2007,7,31
190,2,1,5,3,2,3,5,"Cattle",NA,NA,2007-07-09,2,"Ruminants",2007,7,31
422,2,1,5,3,2,5,5,"Sheep",NA,NA,2007-07-09,2,"Ruminants",2007,7,31
3797,1,317,2,2,6,3,17,"Sheep",NA,NA,2007-07-09,2,"Ruminants",2007,7,31
3711,1,2,4,62,4,5,17,"Sheep",NA,NA,2007-07-03,2,"Ruminants",2007,7,31
53,2,1,21,3,2,1,5,"Cattle",NA,NA,2007-07-03,2,"Ruminants",2007,7,31
53,2,1,21,3,2,1,5,"Cattle",NA,NA,2007-06-26,2,"Ruminants",2007,6,30
2026,10,1,16,19,10,5,7,"Sheep",NA,NA,2007-06-26,2,"Ruminants",2007,6,30
53,2,1,21,3,2,1,5,"Cattle",NA,NA,2007-06-18,2,"Ruminants",2007,6,30
474,2,4,1,2,2,1,5,"Cattle",NA,NA,2007-06-18,2,"Ruminants",2007,6,30
422,2,1,5,3,2,5,5,"Sheep",NA,NA,2007-06-12,2,"Ruminants",2007,6,30
53,2,1,21,3,2,1,5,"Cattle",NA,NA,2007-06-05,2,"Ruminants",2007,6,30
53,2,1,21,3,2,1,5,"Cattle",NA,NA,2007-05-29,2,"Ruminants",2007,5,29
2026,10,1,16,19,10,5,7,"Sheep",NA,NA,2007-05-29,2,"Ruminants",2007,5,29
2026,10,1,16,19,10,5,7,"Cattle",NA,NA,2007-05-22,2,"Ruminants",2007,5,29
2026,10,1,16,19,10,5,7,"Sheep",NA,NA,2007-05-17,2,"Ruminants",2007,5,29
61,1,4,2,2,6,3,17,"Sheep",NA,NA,2007-05-17,2,"Ruminants",2007,5,29
42,1,2,3,4,5,9,3,"Cattle",NA,NA,2007-05-09,2,"Ruminants",2007,5,29
45,4,7,10,4,1,7,1,"Cattle",NA,NA,2007-05-09,2,"Ruminants",2007,5,29
50,2,1,12,3,2,1,5,"Sheep",NA,NA,2007-05-02,2,"Ruminants",2007,5,29
53,2,1,21,3,2,1,5,"Cattle",NA,NA,2007-04-24,2,"Ruminants",2007,4,28
61,1,4,2,2,6,3,17,"Sheep",NA,NA,2007-04-17,2,"Ruminants",2007,4,28
50,2,1,12,3,2,1,5,"Sheep",NA,NA,2007-04-17,2,"Ruminants",2007,4,28
21,2,1,1,3,2,1,5,"Cattle",NA,NA,2007-04-12,2,"Ruminants",2007,4,28
2340,1,45,2,4,6,3,17,"Sheep",NA,NA,2007-03-26,2,"Ruminants",2007,3,27
2026,10,1,16,19,10,5,7,"Sheep",NA,NA,2007-03-19,2,"Ruminants",2007,3,27
3796,33,283,16,82,6,3,17,"Cattle",NA,NA,2007-03-13,2,"Ruminants",2007,3,27
53,2,1,21,3,2,1,5,"Cattle",NA,NA,2007-03-13,2,"Ruminants",2007,3,27
53,2,1,21,3,2,1,5,"Cattle",NA,NA,2007-03-13,2,"Ruminants",2007,3,27
190,2,1,5,3,2,3,5,"Sheep",NA,NA,2007-03-13,2,"Ruminants",2007,3,27
53,2,1,21,3,2,1,5,"Cattle",NA,NA,2007-02-19,2,"Ruminants",2007,2,26
53,2,1,21,3,2,1,5,"Cattle",NA,NA,2007-02-19,2,"Ruminants",2007,2,26
2026,10,1,16,19,10,5,7,"Sheep",NA,NA,2007-02-19,2,"Ruminants",2007,2,26
53,2,1,21,3,2,1,5,"Cattle",NA,NA,2007-02-12,2,"Ruminants",2007,2,26
583,4,7,10,4,42,51,1,"Sheep",NA,NA,2007-02-12,2,"Ruminants",2007,2,26
53,2,1,21,3,2,1,5,"Cattle",NA,NA,2007-02-12,2,"Ruminants",2007,2,26
50,2,1,12,3,2,1,5,"Cattle",NA,NA,2007-02-05,2,"Ruminants",2007,2,26
53,2,1,21,3,2,1,5,"Cattle",NA,NA,2007-01-29,2,"Ruminants",2007,1,25
53,2,1,21,3,2,1,5,"Cattle",NA,NA,2007-01-23,2,"Ruminants",2007,1,25
42,1,2,3,4,5,9,3,"Sheep",NA,NA,2007-01-23,2,"Ruminants",2007,1,25
422,2,1,5,3,2,5,5,"Sheep",NA,NA,2007-01-23,2,"Ruminants",2007,1,25
53,2,1,21,3,2,1,5,"Cattle",NA,NA,2007-01-15,2,"Ruminants",2007,1,25
53,2,1,21,3,2,1,5,"Cattle",NA,NA,2007-01-08,2,"Ruminants",2007,1,25
42,1,2,3,4,5,9,3,"Sheep",NA,NA,2007-01-08,2,"Ruminants",2007,1,25
45,4,7,10,4,1,7,1,"Spent_hen",NA,NA,2009-05-21,4,"Other",2009,5,53
52,9,25,2,10,22,3,6,"Spent_hen",NA,NA,2009-05-21,4,"Other",2009,5,53
45,4,7,10,4,1,7,1,"Spent_hen",NA,NA,2009-05-21,4,"Other",2009,5,53
45,4,7,10,4,1,7,1,"Spent_hen",NA,NA,2009-05-21,4,"Other",2009,5,53
53,2,1,21,3,2,1,5,"Spent_hen",NA,NA,2009-05-21,4,"Other",2009,5,53
52,9,25,2,10,22,3,6,"Spent_hen",NA,NA,2009-05-21,4,"Other",2009,5,53
45,4,7,10,4,1,7,1,"Spent_hen",NA,NA,2009-05-21,4,"Other",2009,5,53
1595,33,38,30,79,104,43,17,"Turkey",NA,NA,2009-05-14,4,"Other",2009,5,53
10067,27,33,22,49,999,7,31,"Spent_hen",NA,NA,2009-05-14,4,"Other",2009,5,53
3093,2,1,21,3,2,3,5,"Spent_hen",NA,NA,2009-05-14,4,"Other",2009,5,53
1581,129,66,30,82,189,47,17,"Spent_hen",NA,NA,2009-05-14,4,"Other",2009,5,53
520,2,1,12,88,2,1,5,"Supplier A",NA,NA,2005-07-01,1,"Poultry",2005,7,7
583,4,7,10,4,42,51,1,"Spent_hen",NA,NA,2009-05-14,4,"Other",2009,5,53
1225,27,33,22,49,43,7,31,"Spent_hen",NA,NA,2009-05-14,4,"Other",2009,5,53
10066,27,33,22,49,998,7,31,"Spent_hen",NA,NA,2009-05-14,4,"Other",2009,5,53
4340,8,52,57,26,74,29,287,"Duck_poultry",NA,NA,2009-05-13,4,"Other",2009,5,53
190,2,1,5,3,2,3,5,"Supplier A",NA,NA,2005-07-01,1,"Poultry",2005,7,7
4523,37,7,57,26,107,29,23,"Duck_poultry",NA,NA,2009-05-13,4,"Other",2009,5,53
52,9,25,2,10,22,3,6,"Spent_hen",NA,NA,2009-05-07,4,"Other",2009,5,53
